date,cap_price,equal_price,cap_ret_1m,equal_ret_1m,breadth_signal
2023-09-27,4274.509765625,136.00941467285156,-0.04960837663413431,-0.055189928965777124,WEAK
2023-09-28,4299.7001953125,136.9541473388672,-0.04765805356302,-0.05159931316866995,WEAK
2023-09-29,4288.0498046875,136.58778381347656,-0.048719367465624885,-0.050792484017928796,WEAK
2023-10-02,4288.39013671875,135.04541015625,-0.05035240542123598,-0.065376392958718,WEAK
2023-10-03,4229.4501953125,133.42593383789062,-0.05945963671457799,-0.06503252155352846,WEAK
2023-10-04,4263.75,134.1874542236328,-0.04517543049147743,-0.05645968405417323,WEAK
2023-10-05,4258.18994140625,133.80186462402344,-0.04334848811449399,-0.05540965908484974,WEAK
2023-10-06,4308.5,134.95864868164062,-0.033424691147055374,-0.047694980728653635,WEAK
2023-10-09,4335.66015625,135.9226531982422,-0.03382755634788703,-0.04244899178928141,WEAK
2023-10-10,4358.240234375,136.96376037597656,-0.02323218141094996,-0.03387351831409413,WEAK
2023-10-11,4376.9501953125,137.25296020507812,-0.02025539174126334,-0.027950472321528363,WEAK
2023-10-12,4349.60986328125,135.53704833984375,-0.03451426849669614,-0.05119650496429662,WEAK
2023-10-13,4327.77978515625,135.2382049560547,-0.027535108464707192,-0.045269641920545056,WEAK
2023-10-16,4373.6298828125,136.92518615722656,-0.01794080340723414,-0.03103914898009741,WEAK
2023-10-17,4373.2001953125,137.59999084472656,-0.01592052045826875,-0.024667038726689516,WEAK
2023-10-18,4314.60009765625,135.42137145996094,-0.01989916263906566,-0.035694716276682414,WEAK
2023-10-19,4278.0,133.74404907226562,-0.012009237875288736,-0.031550929468251,WEAK
2023-10-20,4224.16015625,132.0763397216797,-0.022198742851498032,-0.039806451627216966,WEAK
2023-10-23,4217.0400390625,131.23765563964844,-0.027758286908916796,-0.04830492692594579,WEAK
2023-10-24,4247.68017578125,132.0763397216797,-0.00604877248423219,-0.02857349679109311,WEAK
2023-10-25,4186.77001953125,130.62069702148438,-0.020526271059044143,-0.03962018117884614,WEAK
2023-10-26,4137.22998046875,130.35079956054688,-0.037786405438424264,-0.04821575619744889,WEAK
2023-10-27,4117.3701171875,128.84695434570312,-0.03980356928537088,-0.05667292675561875,WEAK
2023-10-30,4166.81982421875,129.85914611816406,-0.02834870630334474,-0.03840385268988655,WEAK
2023-10-31,4193.7998046875,130.93885803222656,-0.008429083918404134,-0.018640122906584233,WEAK
