date,m2,gdp,yield_10y,yield_2y,m2_yoy,gdp_yoy,excess_liquidity,yield_spread
1987-01-01,2743.9,4722.156,,,0.4675616409049581,0.04753039889580357,0.42003124200915454,
1987-04-01,2767.7,4806.16,7.59,6.65,0.36433993887410043,0.05738184602251972,0.3069580928515807,0.9399999999999995
1987-07-01,2779.0,4884.555,8.36,7.44,0.34589306470360315,0.06009242417369842,0.2858006405299047,0.919999999999999
1987-10-01,2814.8,5007.994,9.66,8.62,0.24609323121873472,0.0752243578113918,0.1708688734073429,1.040000000000001
1988-01-01,2847.4,5073.372,,,0.2208026067569886,0.07437619595794809,0.1464264107990405,
1988-04-01,2910.7,5190.036,,,0.225351519744043,0.07987166469697216,0.14547985504707084,
1988-07-01,2947.2,5282.835,8.77,7.98,0.21308911298621114,0.08153864579270786,0.13155046719350327,0.7899999999999991
1990-01-01,3166.8,5872.701,,,0.2831442463533227,0.17266534265017097,0.11047890370315172,
1990-10-01,3259.3,6004.733,8.71,7.94,0.3026257943327606,0.1835782986148069,0.1190474957179537,0.7700000000000005
1991-01-01,3287.7,6035.178,,,0.28536242083040086,0.16283933290636132,0.12252308792403954,
1991-04-01,3332.4,6126.862,8.07,7.01,0.26871240386811857,0.15976781406195717,0.1089445898061614,1.0600000000000005
1991-07-01,3356.1,6205.937,8.26,6.97,0.24882786336235752,0.05674322598749715,0.19208463737486037,1.29
1991-10-01,3360.1,6264.54,7.45,5.99,0.2245708662852144,0.043267036186288355,0.18130383009892603,1.46
1992-01-01,3381.2,6363.102,,,0.22166419770928925,0.05433543136590169,0.16732876634338756,
1992-04-01,3399.7,6470.763,7.46,5.53,0.22335372436128087,0.05613003850910947,0.1672236858521714,1.9299999999999997
1992-07-01,3393.9,6566.641,7.1,4.82,0.2057339775472502,0.058122407623538486,0.14761156992371172,2.2799999999999994
1992-10-01,3423.8,6680.803,6.23,3.67,0.20243028727962353,0.06644749654404003,0.1359827907355835,2.5600000000000005
1993-01-01,3419.1,6729.459,,,0.17466588793073834,0.05757522038779195,0.11709066754294639,
1993-04-01,3411.3,6808.939,6.06,3.94,0.15747149837133567,0.052262152083146995,0.10520934628818868,2.1199999999999997
